date,account,category,amount,currency,converted amount,currency,description
13/01/2022,Cash,Food,-30,EUR,-30,EUR,Mercadona
13/01/2022,Cash,Food,-6.8,EUR,-6.8,EUR,Agustí
13/01/2022,Cash,Car,-10,EUR,-10,EUR,Peatge cercs anada
15/01/2022,Cash,House,-30,EUR,-30,EUR,Pellets cercs
15/01/2022,Cash,Food,-11,EUR,-11,EUR,Mercat berga
18/01/2022,Cash,Food,-24,EUR,-24,EUR,Mercadona
18/01/2022,Cash,Health,-9,EUR,-9,EUR,Tests
21/01/2022,Cash,Food,-30,EUR,-30,EUR,Dia onlie
24/01/2022,Cash,Entertainment,-4,EUR,-4,EUR,Prime
27/01/2022,Cash,Eating out,-35,EUR,-35,EUR,Simbad
28/01/2022,Cash,Food,-62,EUR,-62,EUR,Mercadona
02/02/2022,Cash,Eating out,-9.5,EUR,-9.5,EUR,Antonios
02/02/2022,Cash,Eating out,-26,EUR,-26,EUR,La real
03/02/2022,Cash,Bills,-37,EUR,-37,EUR,Pepephone
04/02/2022,Cash,Salary,"1,500",EUR,"1,500",EUR,
04/02/2022,Cash,House,-350,EUR,-350,EUR,Lloguer pis
04/02/2022,Cash,Bills,-45,EUR,-45,EUR,Aigua
04/02/2022,Cash,Bills,-45,EUR,-45,EUR,Llum
04/02/2022,Cash,Sports,-100,EUR,-100,EUR,Bamoo
04/02/2022,Cash,Bills,-37,EUR,-37,EUR,Pepephone
04/02/2022,Cash,Food,-44,EUR,-44,EUR,Mercadona
05/02/2022,Cash,Eating out,-13,EUR,-13,EUR,Pollo
05/02/2022,Cash,Eating out,-6.15,EUR,-6.15,EUR,Varis
06/02/2022,Cash,Sports,-95,EUR,-95,EUR,Running shoes
07/02/2022,Cash,Car,-80,EUR,-80,EUR,Parking
08/02/2022,Cash,Food,-12,EUR,-12,EUR,Mercadona
08/02/2022,Cash,Food,-50,EUR,-50,EUR,Pote menjar
09/02/2022,Cash,Transport,-150,EUR,-150,EUR,Bici amat
10/02/2022,Cash,Food,-7.7,EUR,-7.7,EUR,Bonarea
10/02/2022,Cash,Car,-242,EUR,-242,EUR,Seguro cotxe
11/02/2022,Cash,Transport,-11,EUR,-11,EUR,Metro
12/02/2022,Cash,Food,-44.16,EUR,-44.16,EUR,Mercadona
12/02/2022,Cash,Entertainment,-2.5,EUR,-2.5,EUR,Cara
13/02/2022,Cash,Eating out,-2.5,EUR,-2.5,EUR,Croisants
13/02/2022,Cash,Eating out,-40,EUR,-40,EUR,Dinar la pau
